campaign_id,probs,y1,y2,y3
5,"[np.float32(0.9807984), np.float32(0.014378508), np.float32(0.0040885294), np.float32(6.8728974e-07), np.float32(1.2303127e-06), np.float32(0.0007324818)]",0.019201437,0.004822929,0.0007343994
888,"[np.float32(0.82635754), np.float32(0.13295853), np.float32(0.03502757), np.float32(0.00022348536), np.float32(0.00028465796), np.float32(0.005148194)]",0.17364244,0.040683907,0.005656337
212,"[np.float32(0.9245425), np.float32(0.0745231), np.float32(0.00088760257), np.float32(5.578938e-06), np.float32(5.1897823e-06), np.float32(3.609435e-05)]",0.075457565,0.0009344656,4.6863068e-05
354,"[np.float32(0.9762355), np.float32(0.015820248), np.float32(0.0047327187), np.float32(3.7001435e-06), np.float32(6.336544e-06), np.float32(0.0032016)]",0.023764603,0.007944356,0.0032116366
692,"[np.float32(0.69865423), np.float32(0.15356639), np.float32(0.095429495), np.float32(0.002461087), np.float32(0.0032647853), np.float32(0.046623975)]",0.30134574,0.14777935,0.052349847
607,"[np.float32(0.99220604), np.float32(0.006888943), np.float32(0.0008162282), np.float32(5.5171217e-08), np.float32(9.886322e-08), np.float32(8.855372e-05)]",0.0077938787,0.000904936,8.8707755e-05
239,"[np.float32(0.7093813), np.float32(0.115569554), np.float32(0.062082082), np.float32(0.0073063956), np.float32(0.007080015), np.float32(0.098580666)]",0.29061872,0.17504916,0.112967074
170,"[np.float32(0.97246504), np.float32(0.025537124), np.float32(0.001733402), np.float32(5.056934e-06), np.float32(2.8274512e-06), np.float32(0.0002564859)]",0.027534897,0.0019977724,0.00026437026
189,"[np.float32(0.9632282), np.float32(0.032534264), np.float32(0.003902676), np.float32(1.1498234e-06), np.float32(1.796726e-06), np.float32(0.0003318426)]",0.03677173,0.004237465,0.00033478916
47,"[np.float32(0.6249789), np.float32(0.1445506), np.float32(0.090579286), np.float32(0.013812561), np.float32(0.015760696), np.float32(0.11031788)]",0.37502104,0.23047042,0.13989113
